Episode,Observation,Action1,Action2
0,"[ 3.84993717e-01  4.16682898e-01  5.44364622e-01  1.00000000e+00
  9.35288850e-01  1.00000000e+00  5.44574318e-01  4.16766173e-01
  3.85020204e-01 -3.00288835e-01  7.62165600e-06 -2.20195045e-01
  3.84979802e-01  4.16675833e-01  5.44370161e-01  1.00000000e+00
  9.35284147e-01  1.00000000e+00  5.44579878e-01  4.16759116e-01
  3.85006296e-01  3.00288835e-01 -7.62165600e-06  2.27018470e-01
  4.45537692e-03 -6.82743752e-02  5.94145922e-01  5.85306582e-01]","[0, 0]","[0, 0]"
0,"[ 3.84993734e-01  4.16683060e-01  5.44365097e-01  1.00000000e+00
  9.35319720e-01  1.00000000e+00  5.44573844e-01  4.16766012e-01
  3.85020188e-01 -3.00319705e-01  7.64074853e-06 -2.20174323e-01
  3.84979818e-01  4.16675993e-01  5.44370635e-01  1.00000000e+00
  9.35315017e-01  1.00000000e+00  5.44579402e-01  4.16758954e-01
  3.85006278e-01  3.00319705e-01 -7.64074853e-06  2.26994720e-01
  4.45537692e-03 -6.82743752e-02  5.94146530e-01  5.85307199e-01]","[0, 0]","[0, 0]"
0,"[ 3.84993752e-01  4.16683227e-01  5.44365589e-01  1.00000000e+00
  9.35351862e-01  1.00000000e+00  5.44573354e-01  4.16765846e-01
  3.85020171e-01 -3.00351847e-01  7.66053043e-06 -2.20152745e-01
  3.84979835e-01  4.16676159e-01  5.44371125e-01  1.00000000e+00
  9.35347159e-01  1.00000000e+00  5.44578910e-01  4.16758786e-01
  3.85006260e-01  3.00351847e-01 -7.66053043e-06  2.26970003e-01
  4.45537692e-03 -6.82743752e-02  5.94147090e-01  5.85307768e-01]","[0, 0]","[0, 0]"
0,"[ 3.84993771e-01  4.16683400e-01  5.44366097e-01  1.00000000e+00
  9.35385383e-01  1.00000000e+00  5.44572848e-01  4.16765675e-01
  3.85020154e-01 -3.00385368e-01  7.68110791e-06 -2.20130235e-01
  3.84979852e-01  4.16676331e-01  5.44371630e-01  1.00000000e+00
  9.35380680e-01  1.00000000e+00  5.44578402e-01  4.16758613e-01
  3.85006241e-01  3.00385368e-01 -7.68110791e-06  2.26944241e-01
  4.45537692e-03 -6.82743752e-02  5.94147605e-01  5.85308290e-01]","[0, 0]","[0, 0]"
0,"[ 3.84993791e-01  4.16683578e-01  5.44366619e-01  1.00000000e+00
  9.35420381e-01  1.00000000e+00  5.44572328e-01  4.16765498e-01
  3.85020135e-01 -3.00420366e-01  7.70250675e-06 -2.20106726e-01
  3.84979870e-01  4.16676507e-01  5.44372150e-01  1.00000000e+00
  9.35415678e-01  1.00000000e+00  5.44577879e-01  4.16758434e-01
  3.85006221e-01  3.00420366e-01 -7.70250675e-06  2.26917364e-01
  4.45537692e-03 -6.82743752e-02  5.94148079e-01  5.85308772e-01]","[0, 0]","[0, 0]"
0,"[ 3.84993812e-01  4.16683762e-01  5.44367155e-01  1.00000000e+00
  9.35456952e-01  1.00000000e+00  5.44571793e-01  4.16765317e-01
  3.85020117e-01 -3.00456937e-01  7.72475032e-06 -2.20082148e-01
  3.84979889e-01  4.16676688e-01  5.44372684e-01  1.00000000e+00
  9.35452249e-01  1.00000000e+00  5.44577342e-01  4.16758251e-01
  3.85006200e-01  3.00456937e-01 -7.72475032e-06  2.26889302e-01
  4.45537692e-03 -6.82743752e-02  5.94148516e-01  5.85309215e-01]","[0, 0]","[0, 0]"
0,"[ 3.84993833e-01  4.16683949e-01  5.44367705e-01  1.00000000e+00
  9.35495187e-01  1.00000000e+00  5.44571245e-01  4.16765131e-01
  3.85020097e-01 -3.00495173e-01  7.74786060e-06 -2.20056438e-01
  3.84979909e-01  4.16676874e-01  5.44373232e-01  1.00000000e+00
  9.35490484e-01  1.00000000e+00  5.44576791e-01  4.16758063e-01
  3.85006179e-01  3.00495173e-01 -7.74786060e-06  2.26859989e-01
  4.45537692e-03 -6.82743752e-02  5.94148917e-01  5.85309622e-01]","[0, 0]","[0, 0]"
0,"[ 3.84993844e-01  4.16683749e-01  5.44367051e-01  1.00000000e+00
  9.35528305e-01  1.00000000e+00  5.44571902e-01  4.16765333e-01
  3.85020087e-01 -3.00528291e-01  7.76045373e-06 -2.20032093e-01
  3.84979918e-01  4.16676672e-01  5.44372575e-01  1.00000000e+00
  9.35523602e-01  1.00000000e+00  5.44577446e-01  4.16758264e-01
  3.85006168e-01  3.00528291e-01 -7.76045373e-06  2.26836687e-01
  4.45537692e-03 -6.82743752e-02  5.94149287e-01  5.85309997e-01]","[0, 0]","[0, 0]"
0,"[ 3.84993815e-01  4.16683415e-01  5.44366056e-01  1.00000000e+00
  9.35555615e-01  1.00000000e+00  5.44572900e-01  4.16765668e-01
  3.85020118e-01 -3.00555600e-01  7.73297064e-06 -2.20011164e-01
  3.84979888e-01  4.16676337e-01  5.44371578e-01  1.00000000e+00
  9.35550911e-01  1.00000000e+00  5.44578442e-01  4.16758598e-01
  3.85006197e-01  3.00555600e-01 -7.73297064e-06  2.26818337e-01
  4.45537692e-03 -6.82743752e-02  5.94149627e-01  5.85310342e-01]","[0, 0]","[0, 0]"
0,"[ 3.84993882e-01  4.16682443e-01  5.44362857e-01  1.00000000e+00
  9.35578504e-01  1.00000000e+00  5.44576104e-01  4.16766643e-01
  3.85020053e-01 -3.00578488e-01  7.80033138e-06 -2.19989326e-01
  3.84979954e-01  4.16675364e-01  5.44368377e-01  1.00000000e+00
  9.35573800e-01  1.00000000e+00  5.44581646e-01  4.16759571e-01
  3.85006131e-01  3.00578488e-01 -7.80033138e-06  2.26807253e-01
  4.45537692e-03 -6.82743752e-02  5.94149940e-01  5.85310660e-01]","[0, 0]","[0, 0]"
