Episode,Observation,Action1,Action2
0,"[ 3.84993682e-01  4.16682451e-01  5.44363282e-01  1.00000000e+00
  9.35176782e-01  1.00000000e+00  5.44575652e-01  4.16766614e-01
  3.85020234e-01 -3.00176767e-01  7.58183274e-06  1.29934138e-01
  3.84979773e-01  4.16675392e-01  5.44368829e-01  1.00000000e+00
  9.35172080e-01  1.00000000e+00  5.44581219e-01  4.16759563e-01
  3.85006331e-01  3.00176767e-01 -7.58183274e-06 -2.15193778e-01
  7.59195470e-02  4.90642212e-02  6.63406903e-01  5.12305552e-01]","[0, 0]","[0, 0]"
0,"[ 3.84993695e-01  4.16682538e-01  5.44363531e-01  1.00000000e+00
  9.35203040e-01  1.00000000e+00  5.44575404e-01  4.16766529e-01
  3.85020222e-01 -3.00203024e-01  7.59565770e-06  1.29924723e-01
  3.84979784e-01  4.16675478e-01  5.44369076e-01  1.00000000e+00
  9.35198338e-01  1.00000000e+00  5.44580970e-01  4.16759476e-01
  3.85006318e-01  3.00203024e-01 -7.59565770e-06 -2.15169813e-01
  7.59195470e-02  4.90642212e-02  6.63407662e-01  5.12306535e-01]","[0, 0]","[0, 0]"
0,"[ 3.84993708e-01  4.16682625e-01  5.44363780e-01  1.00000000e+00
  9.35230477e-01  1.00000000e+00  5.44575157e-01  4.16766443e-01
  3.85020211e-01 -3.00230461e-01  7.60989709e-06  1.29914908e-01
  3.84979796e-01  4.16675563e-01  5.44369324e-01  1.00000000e+00
  9.35225774e-01  1.00000000e+00  5.44580721e-01  4.16759389e-01
  3.85006305e-01  3.00230461e-01 -7.60989709e-06 -2.15144759e-01
  7.59195470e-02  4.90642212e-02  6.63408360e-01  5.12307439e-01]","[0, 0]","[0, 0]"
0,"[ 3.84993721e-01  4.16682713e-01  5.44364029e-01  1.00000000e+00
  9.35259146e-01  1.00000000e+00  5.44574910e-01  4.16766357e-01
  3.85020199e-01 -3.00259131e-01  7.62455910e-06  1.29904674e-01
  3.84979808e-01  4.16675649e-01  5.44369570e-01  1.00000000e+00
  9.35254444e-01  1.00000000e+00  5.44580472e-01  4.16759301e-01
  3.85006292e-01  3.00259131e-01 -7.62455910e-06 -2.15118563e-01
  7.59195470e-02  4.90642212e-02  6.63409003e-01  5.12308272e-01]","[0, 0]","[0, 0]"
0,"[ 3.84993717e-01  4.16682898e-01  5.44364622e-01  1.00000000e+00
  9.35288850e-01  1.00000000e+00  5.44574318e-01  4.16766173e-01
  3.85020204e-01 -3.00288835e-01  7.62165600e-06  1.29893456e-01
  3.84979802e-01  4.16675833e-01  5.44370161e-01  1.00000000e+00
  9.35284147e-01  1.00000000e+00  5.44579878e-01  4.16759116e-01
  3.85006296e-01  3.00288835e-01 -7.62165600e-06 -2.15092014e-01
  7.59195470e-02  4.90642212e-02  6.63409595e-01  5.12309038e-01]","[0, 0]","[0, 0]"
0,"[ 3.84993734e-01  4.16683060e-01  5.44365097e-01  1.00000000e+00
  9.35319720e-01  1.00000000e+00  5.44573844e-01  4.16766012e-01
  3.85020188e-01 -3.00319705e-01  7.64074853e-06  1.29882058e-01
  3.84979818e-01  4.16675993e-01  5.44370635e-01  1.00000000e+00
  9.35315017e-01  1.00000000e+00  5.44579402e-01  4.16758954e-01
  3.85006278e-01  3.00319705e-01 -7.64074853e-06 -2.15064210e-01
  7.59195470e-02  4.90642212e-02  6.63410140e-01  5.12309743e-01]","[0, 0]","[0, 0]"
0,"[ 3.84993752e-01  4.16683227e-01  5.44365589e-01  1.00000000e+00
  9.35351862e-01  1.00000000e+00  5.44573354e-01  4.16765846e-01
  3.85020171e-01 -3.00351847e-01  7.66053043e-06  1.29870198e-01
  3.84979835e-01  4.16676159e-01  5.44371125e-01  1.00000000e+00
  9.35347159e-01  1.00000000e+00  5.44578910e-01  4.16758786e-01
  3.85006260e-01  3.00351847e-01 -7.66053043e-06 -2.15035261e-01
  7.59195470e-02  4.90642212e-02  6.63410641e-01  5.12310393e-01]","[0, 0]","[0, 0]"
0,"[ 3.84993771e-01  4.16683400e-01  5.44366097e-01  1.00000000e+00
  9.35385383e-01  1.00000000e+00  5.44572848e-01  4.16765675e-01
  3.85020154e-01 -3.00385368e-01  7.68110791e-06  1.29857842e-01
  3.84979852e-01  4.16676331e-01  5.44371630e-01  1.00000000e+00
  9.35380680e-01  1.00000000e+00  5.44578402e-01  4.16758613e-01
  3.85006241e-01  3.00385368e-01 -7.68110791e-06 -2.15005069e-01
  7.59195470e-02  4.90642212e-02  6.63411102e-01  5.12310990e-01]","[0, 0]","[0, 0]"
0,"[ 3.84993791e-01  4.16683578e-01  5.44366619e-01  1.00000000e+00
  9.35420381e-01  1.00000000e+00  5.44572328e-01  4.16765498e-01
  3.85020135e-01 -3.00420366e-01  7.70250675e-06  1.29844957e-01
  3.84979870e-01  4.16676507e-01  5.44372150e-01  1.00000000e+00
  9.35415678e-01  1.00000000e+00  5.44577879e-01  4.16758434e-01
  3.85006221e-01  3.00420366e-01 -7.70250675e-06 -2.14973542e-01
  7.59195470e-02  4.90642212e-02  6.63411527e-01  5.12311540e-01]","[0, 0]","[0, 0]"
0,"[ 3.84993812e-01  4.16683762e-01  5.44367155e-01  1.00000000e+00
  9.35456952e-01  1.00000000e+00  5.44571793e-01  4.16765317e-01
  3.85020117e-01 -3.00456937e-01  7.72475032e-06  1.29831512e-01
  3.84979889e-01  4.16676688e-01  5.44372684e-01  1.00000000e+00
  9.35452249e-01  1.00000000e+00  5.44577342e-01  4.16758251e-01
  3.85006200e-01  3.00456937e-01 -7.72475032e-06 -2.14940591e-01
  7.59195470e-02  4.90642212e-02  6.63411918e-01  5.12312046e-01]","[0, 0]","[0, 0]"
